Strawberry,0.9486,0.9740,0.9454,0.9595
Strawberry,0.9541,0.9702,0.9580,0.9641
Strawberry,0.9486,0.9660,0.9538,0.9598
Strawberry,0.9595,0.9665,0.9706,0.9686
Strawberry,0.9432,0.9697,0.9412,0.9552
Strawberry,0.9459,0.9698,0.9454,0.9574
Strawberry,0.9432,0.9617,0.9496,0.9556
Strawberry,0.9514,0.9661,0.9580,0.9620
Strawberry,0.9541,0.9702,0.9580,0.9641
Strawberry,0.9432,0.9657,0.9454,0.9554
Strawberry,0.9486,0.9660,0.9538,0.9598
Strawberry,0.9486,0.9660,0.9538,0.9598
Strawberry,0.9514,0.9622,0.9622,0.9622
Strawberry,0.9676,0.9871,0.9622,0.9745
Strawberry,0.9270,0.9489,0.9370,0.9429
Strawberry,0.9459,0.9619,0.9538,0.9578
Strawberry,0.9541,0.9742,0.9538,0.9639
Strawberry,0.9595,0.9827,0.9538,0.9680
Strawberry,0.9649,0.9870,0.9580,0.9723
Strawberry,0.9514,0.9741,0.9496,0.9617
Strawberry,0.9595,0.9785,0.9580,0.9682
Strawberry,0.9568,0.9744,0.9580,0.9661
Strawberry,0.9622,0.9870,0.9538,0.9701
Strawberry,0.9541,0.9784,0.9496,0.9638
Strawberry,0.9622,0.9828,0.9580,0.9702
Strawberry,0.9595,0.9869,0.9496,0.9679
